businessentityid;nationalidnumber;loginid;jobtitle;birthdate;maritalstatus;gender;hiredate;salariedflag;vacationhours;sickleavehours;currentflag;modifieddate;organizationnode
1;295847284;adventure-works\ken0;Chief Executive Officer;29-01-1969;S;M;14-01-2009;1;99;69;1;2014-06-30 00:00:00.000;NULL
2;245797967;adventure-works\terri0;Vice President of Engineering;01-08-1971;S;F;31-01-2008;1;1;20;1;2014-06-30 00:00:00.000;0x58
3;509647174;adventure-works\roberto0;Engineering Manager;12-11-1974;M;M;11-11-2007;1;2;21;1;2014-06-30 00:00:00.000;0x5AC0
4;112457891;adventure-works\rob0;Senior Tool Designer;23-12-1974;S;M;05-12-2007;0;48;80;1;2014-06-30 00:00:00.000;0x5AD6
5;695256908;adventure-works\gail0;Design Engineer;27-09-1952;M;F;06-01-2008;1;5;22;1;2014-06-30 00:00:00.000;0x5ADA
6;998320692;adventure-works\jossef0;Design Engineer;11-03-1959;M;M;24-01-2008;1;6;23;1;2014-06-30 00:00:00.000;0x5ADE
7;134969118;adventure-works\dylan0;Research and Development Manager;24-02-1987;M;M;08-02-2009;1;61;50;1;2014-06-30 00:00:00.000;0x5AE1
8;811994146;adventure-works\diane1;Research and Development Engineer;05-06-1986;S;F;29-12-2008;1;62;51;1;2014-06-30 00:00:00.000;0x5AE158
9;658797903;adventure-works\gigi0;Research and Development Engineer;21-01-1979;M;F;16-01-2009;1;63;51;1;2014-06-30 00:00:00.000;0x5AE168
10;879342154;adventure-works\michael6;Research and Development Manager;30-11-1984;M;M;03-05-2009;1;16;64;1;2014-06-30 00:00:00.000;0x5AE178
11;974026903;adventure-works\ovidiu0;Senior Tool Designer;17-01-1978;S;M;05-12-2010;0;7;23;1;2014-06-30 00:00:00.000;0x5AE3
12;480168528;adventure-works\thierry0;Tool Designer;29-07-1959;M;M;11-12-2007;0;9;24;1;2014-06-30 00:00:00.000;0x5AE358
13;486228782;adventure-works\janice0;Tool Designer;28-05-1989;M;F;23-12-2010;0;8;24;1;2014-06-30 00:00:00.000;0x5AE368
14;42487730;adventure-works\michael8;Senior Design Engineer;16-06-1979;S;M;30-12-2010;1;3;21;1;2014-06-30 00:00:00.000;0x5AE5
15;56920285;adventure-works\sharon0;Design Engineer;02-05-1961;M;F;18-01-2011;1;4;22;1;2014-06-30 00:00:00.000;0x5AE7
16;24756624;adventure-works\david0;Marketing Manager;19-03-1975;S;M;20-12-2007;1;40;40;1;2014-06-30 00:00:00.000;0x68
17;253022876;adventure-works\kevin0;Marketing Assistant;03-05-1987;S;M;26-01-2007;0;42;41;1;2014-06-30 00:00:00.000;0x6AC0
18;222969461;adventure-works\john5;Marketing Specialist;06-03-1978;S;M;07-02-2011;0;48;44;1;2014-06-30 00:00:00.000;0x6B40
19;52541318;adventure-works\mary2;Marketing Assistant;29-01-1978;S;F;14-02-2011;0;43;41;1;2014-06-30 00:00:00.000;0x6BC0
